ORIGEN,VARIABLE,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC
NEUQUÉN AERO,PRECIPITACIONES,12.9,11.9,23.6,15.3,21.1,23.5,15.9,11.4,19.3,20.3,14.5,11.2
BAHÍA BLANCA AERO,TEMP.MAX,31.1,29.6,26.6,21.8,17.5,14.1,13.7,16.3,18.5,22.2,25.9,29.3
BAHÍA BLANCA AERO,TEMP.MIN,16.3,15.2,13.4,9.2,6.0,3.3,2.4,3.9,5.6,8.5,11.4,14.4
BAHÍA BLANCA AERO,PRECIPITACIONES,67.1,67.1,75.2,54.5,41.2,31.5,31.1,34.5,51.6,73.3,56.8,67.3
BARILOCHE AERO,TEMP.MAX,22.6,23.0,19.7,14.6,10.2,6.9,6.7,8.3,11.5,14.8,17.9,20.5
BARILOCHE AERO,TEMP.MIN,6.6,6.3,4.7,2.3,0.6,-0.6,-1.6,-1.1,-0.2,1.8,3.7,5.9
BARILOCHE AERO,PRECIPITACIONES,20.0,15.3,35.2,58.9,130.1,170.1,122.1,101.4,56.5,49.4,29.3,23.4
MAQUINCHAO,TEMP.MAX,26.4,25.7,21.9,16.3,10.9,6.6,6.2,9.2,12.9,16.9,20.9,24.2
MAQUINCHAO,TEMP.MIN,9.3,9.1,6.6,2.3,-0.6,-2.9,-4.6,-3.1,-1.1,2.3,5.4,7.9
MAQUINCHAO,PRECIPITACIONES,,,26.2,20.7,23.3,28.1,,11.5,14.9,18.6,,
VIEDMA AERO,TEMP.MAX,29.4,28.3,25.3,20.9,16.3,13.1,12.8,15.1,17.5,21.4,25.0,27.9
VIEDMA AERO,TEMP.MIN,14.7,14.1,12.0,7.8,4.7,2.4,1.5,2.3,4.0,7.1,10.1,12.9
VIEDMA AERO,PRECIPITACIONES,31.4,43.0,54.1,41.8,28.8,25.6,26.0,22.3,25.2,30.3,23.6,21.3
ESQUEL AERO,TEMP.MAX,21.7,22.2,19.1,14.4,10.1,6.7,6.1,8.5,11.8,14.7,17.6,19.9
